epoch,accuracy,loss,val_accuracy,val_loss
0,0.5834653973579407,0.6845665574073792,0.6684266328811646,0.622015655040741
1,0.6436872482299805,0.6285935640335083,0.700105607509613,0.6043373942375183
2,0.6761753559112549,0.6057014465332031,0.7096092700958252,0.5806295871734619
3,0.6801373362541199,0.5873903036117554,0.7254487872123718,0.5574575662612915
4,0.6978341341018677,0.5705468058586121,0.720168948173523,0.5583286881446838
5,0.7017961144447327,0.5674046874046326,0.7191129922866821,0.559217095375061
6,0.7231907248497009,0.5427640676498413,0.7455121278762817,0.5304039716720581
7,0.7353407144546509,0.5296460390090942,0.7613516449928284,0.5341392755508423
8,0.7533016204833984,0.5126502513885498,0.7338964939117432,0.5309270620346069
9,0.7443211674690247,0.5177653431892395,0.7328405380249023,0.5438953042030334
10,0.750396192073822,0.5066951513290405,0.7507919669151306,0.5137421488761902
11,0.7567353248596191,0.5000773072242737,0.6906018853187561,0.5947911739349365
0,0.58795565366745,0.6749902963638306,0.6029567122459412,0.6428358554840088
1,0.6484416127204895,0.6252312064170837,0.6335797309875488,0.632438063621521
2,0.6917591094970703,0.5867712497711182,0.7170010805130005,0.5754782557487488
3,0.6936080455780029,0.5810190439224243,0.7338964939117432,0.5536933541297913
4,0.7197570204734802,0.5528373718261719,0.7465680837631226,0.5455626249313354
5,0.7260961532592773,0.5342198014259338,0.7624076008796692,0.5327341556549072
6,0.7369255423545837,0.5256564021110535,0.7296726703643799,0.5407040119171143
7,0.750396192073822,0.5092047452926636,0.7719113230705261,0.5192205905914307
8,0.754358172416687,0.5089361667633057,0.7719113230705261,0.5241492986679077
9,0.7625462412834167,0.49740666151046753,0.7507919669151306,0.5174790620803833
10,0.7728473544120789,0.48902755975723267,0.7370644211769104,0.5268546342849731
11,0.7670364379882812,0.4884257912635803,0.7666314840316772,0.5103954076766968
0,0.6172741651535034,0.6530939340591431,0.6230200529098511,0.6513339877128601
1,0.6901743412017822,0.592193067073822,0.700105607509613,0.5899041891098022
2,0.72002112865448,0.5566381216049194,0.6768743395805359,0.6050392985343933
3,0.7361330986022949,0.5340901613235474,0.7338964939117432,0.5452051758766174
