epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.773297905921936,0.4818832576274872,939.0,0.7529610991477966,0.5674790143966675,146.0
1,0.8667310476303101,0.32032743096351624,552.0,0.85617595911026,0.34268102049827576,85.0
2,0.9104297161102295,0.2264915406703949,371.0,0.8917089700698853,0.3106834590435028,64.0
3,0.9439883828163147,0.14896312355995178,232.0,0.8883248567581177,0.3020169734954834,66.0
4,0.9799613952636719,0.06718886643648148,83.0,0.8798646330833435,0.40683290362358093,71.0
5,0.9893771409988403,0.03002917766571045,44.0,0.9018612504005432,0.4092356860637665,58.0
6,0.9958956837654114,0.018968643620610237,17.0,0.8866328001022339,0.47951558232307434,67.0
7,1.0,0.004668315406888723,0.0,0.8984771370887756,0.4986457824707031,60.0
