epoch,accuracy,loss,val_accuracy,val_loss
0,0.6757605075836182,0.6081681251525879,0.7834179401397705,0.47181546688079834
1,0.7764365077018738,0.4926024079322815,0.8121827244758606,0.44110944867134094
2,0.8025108575820923,0.43917199969291687,0.6835871338844299,0.7400563359260559
3,0.817720890045166,0.4113735258579254,0.8291032314300537,0.42356210947036743
4,0.8425881266593933,0.38269567489624023,0.7952622771263123,0.5298771858215332
5,0.8493481278419495,0.3506878912448883,0.8375634551048279,0.38062137365341187
6,0.8546595573425293,0.3321053087711334,0.85617595911026,0.30852010846138
7,0.8643167614936829,0.31608447432518005,0.866328239440918,0.3170868158340454
8,0.8737325072288513,0.2933775782585144,0.8900169134140015,0.2979995906352997
9,0.8797682523727417,0.29101237654685974,0.8866328001022339,0.3083277642726898
10,0.8829067945480347,0.2871493399143219,0.8680202960968018,0.3443824052810669
11,0.8807339668273926,0.2867835462093353,0.8747885227203369,0.2950831353664398
12,0.8882182240486145,0.26259517669677734,0.8917089700698853,0.2779121398925781
13,0.8884596824645996,0.26488447189331055,0.8747885227203369,0.285645991563797
14,0.8978754281997681,0.24880430102348328,0.8900169134140015,0.3120543658733368
