epoch,accuracy,loss,val_accuracy,val_loss
0,0.6442155241966248,0.6778609752655029,0.6145723462104797,0.6451765298843384
1,0.716851532459259,0.5720516443252563,0.6726504564285278,0.6059099435806274
2,0.7530375123023987,0.53218013048172,0.7550158500671387,0.5206384062767029
3,0.7667723298072815,0.5190081596374512,0.7381203770637512,0.5591152906417847
4,0.7836766839027405,0.4964035153388977,0.7370644211769104,0.5537644028663635
5,0.7820919156074524,0.4888148307800293,0.7571277618408203,0.5146117806434631
6,0.7836766839027405,0.4766143560409546,0.7581837177276611,0.4898470938205719
7,0.7900158762931824,0.46272411942481995,0.7043294906616211,0.668327271938324
8,0.7942419648170471,0.46492722630500793,0.7053854465484619,0.5639594197273254
9,0.7923930287361145,0.47692400217056274,0.7750791907310486,0.4962448477745056
10,0.7797147631645203,0.482803076505661,0.6884899735450745,0.6218309998512268
11,0.796090841293335,0.47090038657188416,0.7666314840316772,0.49602240324020386
0,0.6415742039680481,0.638491690158844,0.6367475986480713,0.622236430644989
1,0.7466983795166016,0.5204831957817078,0.7729672789573669,0.4944598972797394
2,0.7842049598693848,0.4817756116390228,0.7645195126533508,0.5138159394264221
3,0.7997887134552002,0.45532113313674927,0.7645195126533508,0.4932916462421417
4,0.8124669790267944,0.4316842257976532,0.5279831290245056,0.7170474529266357
5,0.8127310872077942,0.42200997471809387,0.7455121278762817,0.5051438212394714
6,0.8330692052841187,0.39986932277679443,0.8299894332885742,0.387890487909317
7,0.8314844369888306,0.3872220516204834,0.7972545027732849,0.4509139955043793
8,0.8486529588699341,0.36144134402275085,0.7909187078475952,0.4519929885864258
9,0.8460116386413574,0.3554750382900238,0.8257655501365662,0.3586619198322296
10,0.8518224954605103,0.346481591463089,0.8500527739524841,0.3531460464000702
11,0.8565768599510193,0.33402544260025024,0.8426610231399536,0.36243921518325806
12,0.8581616282463074,0.32551974058151245,0.6261879801750183,0.7705436944961548
13,0.8634442687034607,0.3294864296913147,0.7803590297698975,0.5409393906593323
14,0.8623877167701721,0.3254048526287079,0.8426610231399536,0.3468896448612213
15,0.8748018741607666,0.2998415231704712,0.8585005402565002,0.31667935848236084
16,0.8729529976844788,0.30518051981925964,0.8637803792953491,0.3066670596599579
17,0.8737453818321228,0.2948155701160431,0.8384371995925903,0.3593279719352722
18,0.8787638545036316,0.3012857437133789,0.869060218334198,0.2914647161960602
19,0.8811410665512085,0.28732436895370483,0.879619836807251,0.2768384516239166
0,0.610406756401062,0.6581684350967407,0.748680055141449,0.5392727255821228
1,0.7361330986022949,0.552511990070343,0.7539598941802979,0.5276983380317688
2,0.7757527828216553,0.5003167986869812,0.7539598941802979,0.5281060934066772
3,0.7931854128837585,0.46282148361206055,0.7888067364692688,0.48818427324295044
4,0.796883225440979,0.45487648248672485,0.7793030738830566,0.49339762330055237
5,0.8127310872077942,0.42968931794166565,0.8035902976989746,0.4476325809955597
6,0.8240887522697449,0.40765348076820374,0.8194297552108765,0.42594391107559204
7,0.8359746336936951,0.39140546321868896,0.8204857707023621,0.395982563495636
