epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.6727925539016724,0.6073936223983765,1549.0,0.720812201499939,0.5770002603530884,165.0
1,0.7936206459999084,0.46287375688552856,977.0,0.7309644818305969,0.731523334980011,159.0
2,0.8244613409042358,0.41204237937927246,831.0,0.807106614112854,0.4625799357891083,114.0
3,0.8356569409370422,0.3855535686016083,778.0,0.8324872851371765,0.41125065088272095,99.0
4,0.8510773181915283,0.33737802505493164,705.0,0.8764805197715759,0.32210373878479004,73.0
5,0.8679763674736023,0.3109588027000427,625.0,0.8764805197715759,0.3191171884536743,73.0
6,0.8793832063674927,0.2842526435852051,571.0,0.9069374203681946,0.2714310586452484,55.0
7,0.8707224130630493,0.2992657423019409,612.0,0.903553307056427,0.2651062607765198,57.0
8,0.8876214623451233,0.2668307423591614,532.0,0.866328239440918,0.30284127593040466,79.0
9,0.895226001739502,0.2546858787536621,496.0,0.9052453637123108,0.25519612431526184,56.0
10,0.8981833457946777,0.2466077357530594,482.0,0.866328239440918,0.3731127679347992,79.0
11,0.9017744064331055,0.24229812622070312,465.0,0.8950930833816528,0.240831196308136,62.0
12,0.9062104225158691,0.21823734045028687,444.0,0.9221658110618591,0.19937296211719513,46.0
13,0.9089564681053162,0.2147020548582077,431.0,0.9153976440429688,0.255433052778244,50.0
14,0.9159273505210876,0.20140182971954346,398.0,0.9120135307312012,0.21804776787757874,52.0
15,0.9188846349716187,0.2047245055437088,384.0,0.9255499243736267,0.1962306797504425,44.0
16,0.9186734557151794,0.19297927618026733,385.0,0.9323180913925171,0.18949410319328308,40.0
17,0.9224756956100464,0.18241648375988007,367.0,0.9120135307312012,0.2581108510494232,52.0
18,0.9239543676376343,0.1850239783525467,360.0,0.9272419810295105,0.20130105316638947,43.0
19,0.9260667562484741,0.16920313239097595,350.0,0.913705587387085,0.18652430176734924,51.0
20,0.927756667137146,0.17185667157173157,342.0,0.9323180913925171,0.1658337563276291,40.0
21,0.928390383720398,0.16704228520393372,339.0,0.9153976440429688,0.19360578060150146,50.0
22,0.9216307401657104,0.18910785019397736,371.0,0.9187816977500916,0.18894986808300018,48.0
23,0.9338825345039368,0.1587189882993698,313.0,0.9238578677177429,0.1822936087846756,45.0
24,0.9440219402313232,0.14046408236026764,265.0,0.9238578677177429,0.17757458984851837,45.0
25,0.9378960728645325,0.1597314327955246,294.0,0.9255499243736267,0.2023686021566391,44.0
