epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.6521844267845154,0.6181663870811462,1441.0,0.7715736031532288,0.5095889568328857,135.0
1,0.7769731879234314,0.4918469190597534,924.0,0.7986463904380798,0.43244728446006775,119.0
2,0.8097996711730957,0.4373619556427002,788.0,0.8324872851371765,0.459095299243927,99.0
3,0.8269370198249817,0.3923830986022949,717.0,0.8612521290779114,0.3985448181629181,82.0
4,0.8566256165504456,0.3542693257331848,594.0,0.8883248567581177,0.30028557777404785,66.0
5,0.8645908832550049,0.3239476978778839,561.0,0.8917089700698853,0.3049692213535309,64.0
6,0.8797972202301025,0.28790971636772156,498.0,0.9069374203681946,0.24670520424842834,55.0
7,0.8841419219970703,0.2793685495853424,480.0,0.913705587387085,0.23651577532291412,51.0
8,0.8829350471496582,0.27237653732299805,485.0,0.9221658110618591,0.23157639801502228,46.0
9,0.8969345688819885,0.24891577661037445,427.0,0.9187816977500916,0.2165125608444214,48.0
10,0.9000723958015442,0.2457863837480545,414.0,0.913705587387085,0.2153826206922531,51.0
11,0.9036929607391357,0.23436518013477325,399.0,0.8900169134140015,0.2894815504550934,65.0
12,0.9114168286323547,0.2169162929058075,367.0,0.9238578677177429,0.2545130252838135,45.0
13,0.908761739730835,0.22860661149024963,378.0,0.9170897006988525,0.1991240531206131,49.0
14,0.9147960543632507,0.2080235481262207,353.0,0.9170897006988525,0.24406194686889648,49.0
15,0.9208303093910217,0.1976698637008667,328.0,0.9340101480484009,0.19529347121715546,39.0
16,0.9164856672286987,0.1993972659111023,346.0,0.942470371723175,0.16602830588817596,34.0
17,0.9188993573188782,0.20310957729816437,336.0,0.9289340376853943,0.17896324396133423,42.0
18,0.9201062321662903,0.19751423597335815,331.0,0.9272419810295105,0.20688386261463165,43.0
19,0.9232439994812012,0.18289221823215485,318.0,0.903553307056427,0.23200149834156036,57.0
20,0.9263818264007568,0.1746121495962143,305.0,0.8714044094085693,0.3552848696708679,76.0
21,0.9326574802398682,0.16711276769638062,279.0,0.9458544850349426,0.14489172399044037,32.0
22,0.9345884919166565,0.16855187714099884,271.0,0.942470371723175,0.14811639487743378,34.0
23,0.9396572709083557,0.15421107411384583,250.0,0.9238578677177429,0.21949456632137299,45.0
24,0.9386917948722839,0.1538793295621872,254.0,0.9272419810295105,0.1810697317123413,43.0
25,0.9389331340789795,0.1543024182319641,253.0,0.9153976440429688,0.22394883632659912,50.0
26,0.9398986101150513,0.15271782875061035,249.0,0.9458544850349426,0.15287300944328308,32.0
