epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.6287714242935181,0.6387065649032593,1538.0,0.6988155841827393,0.5994107723236084,178.0
1,0.7612841129302979,0.5111855268478394,989.0,0.769881546497345,0.5284225344657898,136.0
2,0.8044894933700562,0.43923094868659973,810.0,0.8291032314300537,0.40757787227630615,101.0
3,0.8274197578430176,0.4074159562587738,715.0,0.7884940505027771,0.44313564896583557,125.0
4,0.8455225825309753,0.37250104546546936,640.0,0.8443316221237183,0.42094510793685913,92.0
5,0.8467293977737427,0.3510996401309967,635.0,0.8595600724220276,0.3349556028842926,83.0
6,0.8653149604797363,0.32034051418304443,558.0,0.8527919054031372,0.34272149205207825,87.0
7,0.8682114481925964,0.31289157271385193,546.0,0.8849408030509949,0.27890434861183167,68.0
8,0.8858315348625183,0.2721392512321472,473.0,0.8477157354354858,0.3813563287258148,90.0
9,0.8846246600151062,0.2713434398174286,478.0,0.903553307056427,0.2518632411956787,57.0
10,0.8942794799804688,0.2550898492336273,438.0,0.9086294174194336,0.23326346278190613,54.0
11,0.8988655805587769,0.24862104654312134,419.0,0.9069374203681946,0.22848759591579437,55.0
12,0.8979000449180603,0.23001080751419067,423.0,0.913705587387085,0.22690117359161377,51.0
13,0.9036929607391357,0.23158463835716248,399.0,0.8967850804328918,0.28688400983810425,61.0
14,0.908761739730835,0.22266724705696106,378.0,0.9069374203681946,0.21466483175754547,55.0
15,0.9157615303993225,0.2051040232181549,349.0,0.9103214740753174,0.263092577457428,53.0
16,0.9244508743286133,0.1955695003271103,313.0,0.913705587387085,0.21541893482208252,51.0
17,0.9203475713729858,0.1923997551202774,330.0,0.8967850804328918,0.23373739421367645,61.0
18,0.918175220489502,0.1972287893295288,339.0,0.9153976440429688,0.19835883378982544,50.0
19,0.921554446220398,0.18600903451442719,325.0,0.9120135307312012,0.22032657265663147,52.0
20,0.9261404871940613,0.1869240254163742,306.0,0.9204737544059753,0.19758327305316925,47.0
21,0.9326574802398682,0.16433189809322357,279.0,0.9221658110618591,0.27640289068222046,46.0
22,0.9312092661857605,0.17899949848651886,285.0,0.9255499243736267,0.21292440593242645,44.0
23,0.9367607831954956,0.16830065846443176,262.0,0.9238578677177429,0.19785712659358978,45.0
