epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.6916948556900024,0.5935847759246826,1277.0,0.7901861071586609,0.49414223432540894,124.0
1,0.7851279377937317,0.47998473048210144,890.0,0.8121827244758606,0.4177367687225342,111.0
2,0.8068565726280212,0.43702998757362366,800.0,0.8037225008010864,0.4774511754512787,116.0
3,0.8283438086509705,0.4056655168533325,711.0,0.7817258834838867,0.5198917984962463,129.0
4,0.8268952369689941,0.39819514751434326,717.0,0.8510998487472534,0.35624057054519653,88.0
5,0.839932382106781,0.3747759163379669,663.0,0.8477157354354858,0.3461097180843353,90.0
6,0.8505553007125854,0.3552396595478058,619.0,0.8730964660644531,0.31685882806777954,75.0
7,0.8570739030838013,0.3371797204017639,592.0,0.8629441857337952,0.334140807390213,81.0
8,0.8645581603050232,0.32150134444236755,561.0,0.8206430077552795,0.3816992938518524,106.0
9,0.8599710464477539,0.318401575088501,580.0,0.8764805197715759,0.28208306431770325,73.0
10,0.8746982216835022,0.3049878776073456,519.0,0.8984771370887756,0.2681352198123932,60.0
11,0.8768710494041443,0.29451364278793335,510.0,0.893401026725769,0.28241845965385437,63.0
12,0.876629650592804,0.2822934687137604,511.0,0.9001691937446594,0.2693689465522766,59.0
13,0.8773539066314697,0.28847479820251465,508.0,0.9086294174194336,0.27446818351745605,54.0
14,0.8896668553352356,0.2677774727344513,457.0,0.8883248567581177,0.285975843667984,66.0
15,0.8930468559265137,0.26158392429351807,443.0,0.8900169134140015,0.28790518641471863,65.0
