epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.6666666865348816,0.6125912666320801,1381.0,0.759729266166687,0.5260624289512634,142.0
1,0.7726285457611084,0.5021764039993286,942.0,0.7952622771263123,0.46276459097862244,121.0
2,0.80666184425354,0.44528043270111084,801.0,0.8087986707687378,0.4686828553676605,113.0
3,0.8139029741287231,0.4331243634223938,771.0,0.8223350048065186,0.4397425949573517,105.0
4,0.8373159766197205,0.38768619298934937,674.0,0.817258894443512,0.43798336386680603,108.0
5,0.8353849649429321,0.37358537316322327,682.0,0.8307952880859375,0.3933013677597046,100.0
6,0.8428674936294556,0.36428192257881165,651.0,0.8189509510993958,0.4231860935688019,107.0
7,0.8539705276489258,0.3419560492038727,605.0,0.8527919054031372,0.35805296897888184,87.0
8,0.865797758102417,0.32249563932418823,556.0,0.8392555117607117,0.38327017426490784,95.0
9,0.873521625995636,0.30664360523223877,524.0,0.8595600724220276,0.3415718376636505,83.0
10,0.8769007921218872,0.29606524109840393,510.0,0.8730964660644531,0.34490880370140076,75.0
11,0.877866268157959,0.2911309003829956,506.0,0.8612521290779114,0.33909380435943604,82.0
12,0.8843833208084106,0.2793341279029846,479.0,0.85617595911026,0.3577558994293213,85.0
13,0.8846246600151062,0.2751568555831909,478.0,0.8595600724220276,0.3385118246078491,83.0
14,0.8916244506835938,0.2723311483860016,449.0,0.8646361827850342,0.3684264123439789,80.0
15,0.8875211477279663,0.26259365677833557,466.0,0.8646361827850342,0.33538952469825745,80.0
16,0.8928312659263611,0.2604689300060272,444.0,0.8747885227203369,0.35168755054473877,74.0
17,0.8947622776031494,0.2572409510612488,436.0,0.8849408030509949,0.3355270028114319,68.0
18,0.8988655805587769,0.2510609030723572,419.0,0.8646361827850342,0.36453065276145935,80.0
19,0.9007965326309204,0.2406793236732483,411.0,0.8257191181182861,0.4075891375541687,103.0
20,0.9046584367752075,0.23991073668003082,395.0,0.8747885227203369,0.315003901720047,74.0
21,0.9024861454963684,0.23781131207942963,404.0,0.8510998487472534,0.33780163526535034,88.0
22,0.9065894484519958,0.22264309227466583,387.0,0.8950930833816528,0.3185606598854065,62.0
23,0.9056239724159241,0.22692203521728516,391.0,0.8714044094085693,0.30043649673461914,76.0
24,0.9106927514076233,0.2213042676448822,370.0,0.893401026725769,0.29526808857917786,63.0
25,0.9118995666503906,0.2181701511144638,365.0,0.893401026725769,0.32564109563827515,63.0
26,0.9140719175338745,0.2157975137233734,356.0,0.8764805197715759,0.3093070983886719,73.0
27,0.9203475713729858,0.20303741097450256,330.0,0.8781725764274597,0.3272721469402313,72.0
28,0.9188993573188782,0.20313288271427155,336.0,0.8849408030509949,0.32232117652893066,68.0
29,0.9065894484519958,0.2311788946390152,387.0,0.8815566897392273,0.3028455078601837,70.0
