epoch,accuracy,loss,val_accuracy,val_loss
0,0.6571579575538635,0.6222901940345764,0.7106652855873108,0.5832337141036987
1,0.7736397385597229,0.4948877990245819,0.8046462535858154,0.4390697181224823
2,0.8225039839744568,0.4008443355560303,0.8215417265892029,0.41727736592292786
3,0.8576334118843079,0.3450900912284851,0.8215417265892029,0.4086357057094574
4,0.8877443075180054,0.27782824635505676,0.8225976824760437,0.4288526475429535
5,0.9141574501991272,0.21929945051670074,0.8542766571044922,0.3477571904659271
6,0.9492868185043335,0.13956917822360992,0.8458289504051208,0.44993215799331665
7,0.9706814289093018,0.07987695932388306,0.84477299451828,0.4879266917705536
8,0.9801901578903198,0.05554959177970886,0.8468849062919617,0.6238554120063782
9,0.9891706109046936,0.035281065851449966,0.8437169790267944,0.6749989986419678
10,0.9889065027236938,0.037307798862457275,0.8500527739524841,0.654876708984375
11,0.9854727983474731,0.03905492275953293,0.8532207012176514,0.7305824160575867
12,0.9828314781188965,0.052767738699913025,0.8458289504051208,0.6149659752845764
13,0.9915478229522705,0.02792343683540821,0.8479408621788025,0.8205134272575378
14,0.9955097436904907,0.011602181941270828,0.8542766571044922,0.8158335089683533
15,0.9997358918190002,0.0016309741185978055,0.8595564961433411,0.8266116380691528
16,1.0,0.0005010534077882767,0.8585005402565002,0.8470484614372253
17,1.0,0.00029160312260501087,0.8563885688781738,0.8697245717048645
18,1.0,0.0002239350142190233,0.8574445843696594,0.8932953476905823
19,1.0,0.0001775807177182287,0.855332612991333,0.9141078591346741
