epoch,accuracy,iter_0_1_loss,loss,total_0-1_loss,val_accuracy,val_iter_0_1_loss,val_loss,val_total_0-1_loss
0,0.5665610432624817,6.924050807952881,0.674847424030304,1641.0,0.6789862513542175,10.133333206176758,0.6411611437797546,304.0
1,0.6719492673873901,5.240506172180176,0.6292692422866821,1242.0,0.7085533142089844,9.199999809265137,0.6167156100273132,276.0
2,0.7105123996734619,4.624472618103027,0.5939240455627441,1096.0,0.7349525094032288,8.366666793823242,0.5757438540458679,251.0
3,0.7390385866165161,4.168776512145996,0.5630383491516113,988.0,0.7476240992546082,7.9666666984558105,0.5473648905754089,239.0
4,0.7472265958786011,4.037974834442139,0.5393112897872925,957.0,0.7465680837631226,8.0,0.522582471370697,240.0
5,0.7678288221359253,3.7088608741760254,0.5160202980041504,879.0,0.7676874399185181,7.333333492279053,0.505616307258606,220.0
6,0.7754886150360107,3.5864977836608887,0.4945495128631592,850.0,0.7708553075790405,7.233333110809326,0.4888251721858978,217.0
7,0.7863180041313171,3.4135022163391113,0.47559934854507446,809.0,0.7750791907310486,7.099999904632568,0.47476926445961,213.0
8,0.8071843385696411,3.0801687240600586,0.45886269211769104,730.0,0.7866948246955872,6.733333110809326,0.46600186824798584,202.0
9,0.814315915107727,2.966244697570801,0.4451081454753876,703.0,0.8014783263206482,6.266666889190674,0.44586947560310364,188.0
10,0.8177496194839478,2.9113924503326416,0.4343266189098358,690.0,0.8057022094726562,6.133333206176758,0.445833295583725,184.0
11,0.8309561610221863,2.7004220485687256,0.42122358083724976,640.0,0.8067581653594971,6.099999904632568,0.42696255445480347,183.0
12,0.8283148407936096,2.7426159381866455,0.41263169050216675,650.0,0.8078141212463379,6.066666603088379,0.42477843165397644,182.0
13,0.831220269203186,2.696202516555786,0.3992080092430115,639.0,0.8109820485115051,5.9666666984558105,0.41193482279777527,179.0
14,0.8394083380699158,2.5654008388519287,0.38920873403549194,608.0,0.8173178434371948,5.766666889190674,0.40424644947052,173.0
15,0.8402007222175598,2.5527427196502686,0.3820449709892273,605.0,0.812038004398346,5.933333396911621,0.41204676032066345,178.0
16,0.8444268107414246,2.48523211479187,0.3763744533061981,589.0,0.8268215656280518,5.4666666984558105,0.39498481154441833,164.0
17,0.8473322987556458,2.4388184547424316,0.367140531539917,578.0,0.8321013450622559,5.300000190734863,0.3901333808898926,159.0
18,0.8470681309700012,2.443037986755371,0.3590884208679199,579.0,0.8183737993240356,5.733333110809326,0.3931238353252411,172.0
19,0.8528790473937988,2.3502109050750732,0.3539830148220062,557.0,0.8342133164405823,5.233333110809326,0.3828233480453491,157.0
20,0.856840968132019,2.2869198322296143,0.34810522198677063,542.0,0.8278775215148926,5.433333396911621,0.4021448493003845,163.0
21,0.8563127517700195,2.295358657836914,0.349748820066452,544.0,0.8363252282142639,5.166666507720947,0.37723881006240845,155.0
22,0.8650290369987488,2.156118154525757,0.3416021764278412,511.0,0.840549111366272,5.0333333015441895,0.3730587363243103,151.0
23,0.8626518845558167,2.1940927505493164,0.33549240231513977,520.0,0.8363252282142639,5.166666507720947,0.37886935472488403,155.0
24,0.8629159927368164,2.189873456954956,0.3288261890411377,519.0,0.840549111366272,5.0333333015441895,0.3732578456401825,151.0
0,0.6524035930633545,11.058823585510254,0.6139230132102966,1316.0,0.7286166548728943,8.566666603088379,0.5332754850387573,257.0
1,0.7599049210548401,7.638655662536621,0.4992464482784271,909.0,0.7497360110282898,7.900000095367432,0.5019943118095398,237.0
2,0.8024300336837769,6.285714149475098,0.4473305642604828,748.0,0.816261887550354,5.800000190734863,0.42871636152267456,174.0
3,0.8219757080078125,5.663865566253662,0.40453362464904785,674.0,0.812038004398346,5.933333396911621,0.40115657448768616,178.0
4,0.835182249546051,5.243697643280029,0.3783099949359894,624.0,0.8004223704338074,6.300000190734863,0.4174141585826874,189.0
5,0.8536714315414429,4.655462265014648,0.35092663764953613,554.0,0.8437169790267944,4.933333396911621,0.3765440881252289,148.0
6,0.8684627413749695,4.184874057769775,0.3237121105194092,498.0,0.8183737993240356,5.733333110809326,0.39271870255470276,172.0
7,0.8779714703559875,3.882352828979492,0.3064068853855133,462.0,0.7793030738830566,6.9666666984558105,0.47713327407836914,209.0
8,0.880876898765564,3.7899160385131836,0.28835418820381165,451.0,0.8489968180656433,4.766666889190674,0.36525216698646545,143.0
9,0.8901215195655823,3.495798349380493,0.2691435217857361,416.0,0.831045389175415,5.333333492279053,0.40900909900665283,160.0
10,0.8993660807609558,3.2016806602478027,0.25586771965026855,381.0,0.8521647453308105,4.666666507720947,0.34326162934303284,140.0
11,0.9046487212181091,3.033613443374634,0.2400931417942047,361.0,0.840549111366272,5.0333333015441895,0.4044882655143738,151.0
