0,0.596662,0.679256,0.711993,0.591860
1,0.658567,0.615925,0.693412,0.587340
2,0.680541,0.599196,0.717905,0.552049
3,0.689415,0.580668,0.713682,0.545779
4,0.712233,0.556985,0.715372,0.547860
5,0.725121,0.543148,0.746622,0.521217
6,0.728925,0.531433,0.733953,0.551803
7,0.744559,0.520585,0.759291,0.501062
8,0.751532,0.510715,0.752534,0.508865
9,0.763364,0.502530,0.755912,0.524026
10,0.764843,0.497046,0.772804,0.494856
11,0.774350,0.486034,0.765203,0.494626
12,0.769702,0.488356,0.775338,0.484324
13,0.776886,0.475229,0.758446,0.520705
14,0.782168,0.468430,0.778716,0.488319
15,0.780055,0.471211,0.782095,0.479783
16,0.783224,0.462975,0.784628,0.484112
17,0.788295,0.456267,0.776182,0.487814
18,0.794422,0.454369,0.760980,0.512940
19,0.794633,0.452827,0.785473,0.483260
20,0.796324,0.449508,0.763514,0.521109
21,0.799704,0.443476,0.783784,0.481218
22,0.806677,0.434949,0.770270,0.501643
23,0.804775,0.437843,0.787162,0.476932
24,0.804775,0.433604,0.783784,0.476965
25,0.804564,0.432055,0.777872,0.492866
26,0.812381,0.428707,0.784628,0.482040
27,0.812170,0.420489,0.783784,0.472305
28,0.815128,0.415848,0.772804,0.499936
29,0.817241,0.417275,0.786318,0.476991
30,0.822523,0.409055,0.766047,0.501278
31,0.827382,0.405126,0.780405,0.494811
32,0.826115,0.407764,0.781250,0.484333
33,0.832453,0.406009,0.782095,0.490236
34,0.828861,0.397034,0.792230,0.476702
35,0.831397,0.396791,0.768581,0.505209
36,0.830763,0.392155,0.791385,0.483836
37,0.824636,0.394099,0.797297,0.467393
38,0.841327,0.385878,0.794764,0.470530
39,0.839003,0.388244,0.785473,0.487239
40,0.832664,0.384728,0.768581,0.521312
41,0.841116,0.377291,0.792230,0.467421
42,0.842806,0.376323,0.793919,0.468407
43,0.840482,0.377505,0.765203,0.512633
44,0.840693,0.371918,0.788007,0.475485
45,0.846609,0.368773,0.793919,0.462864
46,0.850412,0.364152,0.796453,0.461259
47,0.854849,0.358286,0.798142,0.473769
48,0.848510,0.363804,0.798986,0.464470
49,0.855272,0.356186,0.765203,0.517747
50,0.855483,0.354943,0.779561,0.506924
51,0.855060,0.351144,0.798142,0.467724
52,0.859497,0.350669,0.795608,0.467337
53,0.856750,0.351176,0.796453,0.480076
54,0.858652,0.346993,0.789696,0.459922
55,0.858863,0.345082,0.804899,0.459792
56,0.867737,0.339720,0.751689,0.540087
57,0.862455,0.337454,0.794764,0.471385
58,0.867315,0.332621,0.798142,0.471625
59,0.867948,0.332690,0.790541,0.493504
60,0.865624,0.332411,0.798986,0.459862
61,0.877034,0.320700,0.792230,0.468009
62,0.871118,0.324897,0.788851,0.474478
63,0.875132,0.322601,0.802365,0.460027
64,0.875977,0.319936,0.769426,0.519261
65,0.879780,0.314997,0.801520,0.470395
