epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.9570359587669373,0.40984079241752625,178.0,0.9847715497016907,0.11765687167644501,9.0
1,0.9686217904090881,0.28692200779914856,130.0,0.9864636063575745,0.14495693147182465,8.0
2,0.9753801822662354,0.2577674090862274,102.0,0.9881556630134583,0.13802975416183472,7.0
3,0.9763456583023071,0.2642129361629486,98.0,0.9881556630134583,0.14545132219791412,7.0
4,0.9775524735450745,0.22263969480991364,93.0,0.989847719669342,0.12714648246765137,6.0
5,0.9799662232398987,0.21263878047466278,83.0,0.989847719669342,0.13806262612342834,6.0
