epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.9686142206192017,0.0958307683467865,130.0,0.9932318329811096,0.0365401990711689,4.0
1,0.9891356825828552,0.04142487421631813,45.0,0.9932318329811096,0.028611866757273674,4.0
2,0.9886528253555298,0.03556101396679878,47.0,0.9932318329811096,0.027054626494646072,4.0
3,0.9896185398101807,0.035786211490631104,43.0,0.9949238300323486,0.02334095910191536,3.0
4,0.9896185398101807,0.03415233641862869,43.0,0.9932318329811096,0.022848758846521378,4.0
5,0.9896185398101807,0.029573479667305946,43.0,0.9949238300323486,0.021519001573324203,3.0
6,0.9898599982261658,0.03216128051280975,42.0,0.9949238300323486,0.020744072273373604,3.0
7,0.9891356825828552,0.030021654441952705,45.0,0.9966158866882324,0.019561130553483963,2.0
8,0.991067111492157,0.026726126670837402,37.0,0.9949238300323486,0.01892104744911194,3.0
