epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.9531627297401428,0.3867206573486328,194.0,0.9813874959945679,0.22492815554141998,11.0
1,0.9666827917098999,0.344217449426651,138.0,0.9915397763252258,0.07629581540822983,5.0
2,0.9661998748779297,0.3795820474624634,140.0,0.9915397763252258,0.10232173651456833,5.0
3,0.9753742218017578,0.28586289286613464,102.0,0.9932318329811096,0.0827680304646492,4.0
4,0.9775470495223999,0.24788442254066467,93.0,0.9915397763252258,0.10434157401323318,5.0
5,0.9780299663543701,0.24916526675224304,91.0,0.989847719669342,0.11113855242729187,6.0
6,0.9809271097183228,0.18707993626594543,79.0,0.9932318329811096,0.08721569180488586,4.0
