epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.965725302696228,0.09991495311260223,142.0,0.9881556630134583,0.041187528520822525,7.0
1,0.9794834852218628,0.06119379773736,85.0,0.9881556630134583,0.03613727167248726,7.0
2,0.9818971753120422,0.0505637489259243,75.0,0.9881556630134583,0.03608322888612747,7.0
3,0.9799662232398987,0.053488388657569885,83.0,0.989847719669342,0.03682645410299301,6.0
4,0.9821385741233826,0.048201583325862885,74.0,0.9881556630134583,0.03647645562887192,7.0
5,0.9831040501594543,0.05038020759820938,70.0,0.9881556630134583,0.0343884602189064,7.0
