epoch,accuracy,iter_0_1_loss,loss,total_0-1_loss,val_accuracy,val_iter_0_1_loss,val_loss,val_total_0-1_loss
0,0.6185948252677917,12.134453773498535,0.6439213752746582,1444.0,0.7022175192832947,9.399999618530273,0.5799695253372192,282.0
1,0.7171157002449036,9.0,0.5603485703468323,1071.0,0.6937698125839233,9.666666984558105,0.5767506957054138,290.0
2,0.7546222805976868,7.806722640991211,0.5181731581687927,929.0,0.6546990275382996,10.899999618530273,0.6481245756149292,327.0
3,0.7725831866264343,7.235294342041016,0.49156543612480164,861.0,0.7793030738830566,6.9666666984558105,0.4840695261955261,209.0
4,0.7884310483932495,6.73109245300293,0.4634883403778076,801.0,0.7233368754386902,8.733333587646484,0.5466586351394653,262.0
5,0.8092973828315735,6.067226886749268,0.4352020025253296,722.0,0.8014783263206482,6.266666889190674,0.4476611912250519,188.0
6,0.8209191560745239,5.697478771209717,0.4192451536655426,678.0,0.7655755281448364,7.400000095367432,0.4922371506690979,222.0
7,0.8243528604507446,5.588235378265381,0.4058847427368164,665.0,0.812038004398346,5.933333396911621,0.4171885848045349,178.0
8,0.8285789489746094,5.453781604766846,0.39406558871269226,649.0,0.812038004398346,5.933333396911621,0.41528576612472534,178.0
9,0.8425779342651367,5.008403301239014,0.38031867146492004,596.0,0.647307276725769,11.133333206176758,0.7114531397819519,334.0
10,0.8441627025604248,4.957983016967773,0.37359482049942017,590.0,0.8289334774017334,5.400000095367432,0.4060547947883606,162.0
11,0.856048583984375,4.579832077026367,0.3559744954109192,545.0,0.6758183836936951,10.233333587646484,0.713959813117981,307.0
12,0.8549920916557312,4.613445281982422,0.3515172004699707,549.0,0.8373811841011047,5.133333206176758,0.38727501034736633,154.0
13,0.8613312244415283,4.411764621734619,0.3396592140197754,525.0,0.7529038786888123,7.800000190734863,0.5162122249603271,234.0
14,0.8703116774559021,4.1260504722595215,0.33072221279144287,491.0,0.7148891091346741,9.0,0.6461203098297119,270.0
0,0.6067089438438416,12.512604713439941,0.6568684577941895,1489.0,0.6504752039909363,11.033333778381348,0.6206115484237671,331.0
1,0.6862123608589172,9.983193397521973,0.6040970087051392,1188.0,0.6789862513542175,10.133333206176758,0.6063488125801086,304.0
